,reqid,date,open,high,low,close,volume
130,4106,20201211  13:50:00,6.5,6.85,6.5,6.85,-1
131,4106,20201211  13:55:00,6.85,7.0,6.75,6.85,-1
132,4106,20201211  14:00:00,6.85,6.85,6.7,6.75,-1
133,4106,20201211  14:05:00,6.75,6.9,6.65,6.85,-1
134,4106,20201211  14:10:00,6.85,6.9,6.75,6.85,-1
135,4106,20201211  14:15:00,6.85,6.85,6.7,6.8,-1
136,4106,20201211  14:20:00,6.8,6.95,6.75,6.95,-1
137,4106,20201211  14:25:00,6.95,6.95,6.8,6.8,-1
138,4106,20201211  14:30:00,6.8,7.2,6.8,7.1,-1
139,4106,20201211  14:35:00,7.1,7.1,6.95,7.1,-1
140,4106,20201211  14:40:00,7.1,7.1,7.05,7.1,-1
141,4106,20201211  14:45:00,7.1,7.2,6.95,7.1,-1
142,4106,20201211  14:50:00,7.1,7.15,6.95,6.95,-1
143,4106,20201211  14:55:00,6.95,6.95,6.9,6.95,-1
144,4106,20201211  15:00:00,6.95,6.95,6.75,6.75,-1
145,4106,20201211  15:05:00,6.75,6.75,6.5,6.65,-1
146,4106,20201211  15:10:00,6.65,6.95,6.65,6.95,-1
147,4106,20201211  15:15:00,6.95,7.5,6.95,7.45,-1
148,4106,20201211  15:20:00,7.45,7.45,7.0,7.15,-1
149,4106,20201211  15:25:00,7.15,7.15,6.95,6.95,-1
150,4106,20201211  15:30:00,6.95,7.2,6.85,7.1,-1
151,4106,20201211  15:35:00,7.1,7.15,7.1,7.15,-1
152,4106,20201211  15:40:00,7.15,7.2,7.1,7.1,-1
153,4106,20201211  15:45:00,7.1,7.1,6.5,6.65,-1
154,4106,20201211  15:50:00,6.65,7.05,6.6,7.05,-1
155,4106,20201211  15:55:00,7.05,7.4,6.8,7.3,-1
156,4106,20201211  09:30:00,7.45,8.05,6.5,6.7,-1
157,4106,20201211  09:35:00,6.7,7.0,6.65,6.9,-1
158,4106,20201211  09:40:00,6.9,6.95,5.95,6.0,-1
159,4106,20201211  09:45:00,6.0,6.5,5.95,6.45,-1
160,4106,20201211  09:50:00,6.45,6.65,6.1,6.55,-1
161,4106,20201211  09:55:00,6.55,6.75,6.45,6.7,-1
162,4106,20201211  10:00:00,6.7,6.75,6.5,6.6,-1
163,4106,20201211  10:05:00,6.6,6.65,6.4,6.65,-1
164,4106,20201211  10:10:00,6.65,7.2,6.65,7.2,-1
165,4106,20201211  10:15:00,7.2,7.2,6.95,7.05,-1
166,4106,20201211  10:20:00,7.05,7.05,6.8,6.8,-1
167,4106,20201211  10:25:00,6.8,7.15,6.75,7.0,-1
168,4106,20201211  10:30:00,7.0,7.0,6.5,6.75,-1
169,4106,20201211  10:35:00,6.75,6.95,6.6,6.8,-1
170,4106,20201211  10:40:00,6.8,6.8,6.65,6.65,-1
171,4106,20201211  10:45:00,6.65,6.75,6.45,6.5,-1
172,4106,20201211  10:50:00,6.5,6.5,6.15,6.3,-1
173,4106,20201211  10:55:00,6.3,6.4,6.1,6.4,-1
174,4106,20201211  11:00:00,6.4,6.65,6.4,6.5,-1
175,4106,20201211  11:05:00,6.5,6.65,6.4,6.4,-1
176,4106,20201211  11:10:00,6.4,6.5,6.2,6.5,-1
177,4106,20201211  11:15:00,6.5,6.55,6.3,6.5,-1
178,4106,20201211  11:20:00,6.5,6.5,5.95,6.0,-1
179,4106,20201211  11:25:00,6.0,6.1,5.9,5.9,-1
180,4106,20201211  11:30:00,5.9,6.05,5.9,6.05,-1
181,4106,20201211  11:35:00,6.05,6.05,5.65,5.75,-1
182,4106,20201211  11:40:00,5.75,5.9,5.7,5.75,-1
183,4106,20201211  11:45:00,5.75,5.8,5.55,5.75,-1
184,4106,20201211  11:50:00,5.75,5.85,5.75,5.8,-1
185,4106,20201211  11:55:00,5.8,5.85,5.7,5.85,-1
186,4106,20201211  12:00:00,5.85,6.1,5.85,6.0,-1
187,4106,20201211  12:05:00,6.0,6.0,5.75,5.9,-1
188,4106,20201211  12:10:00,5.9,5.9,5.55,5.65,-1
189,4106,20201211  12:15:00,5.65,5.75,5.6,5.65,-1
190,4106,20201211  12:20:00,5.65,5.65,5.3,5.4,-1
191,4106,20201211  12:25:00,5.4,5.6,5.35,5.55,-1
192,4106,20201211  12:30:00,5.55,5.6,5.35,5.35,-1
193,4106,20201211  12:35:00,5.35,5.45,5.25,5.35,-1
194,4106,20201211  12:40:00,5.35,5.55,5.35,5.45,-1
195,4106,20201211  12:45:00,5.45,5.55,5.45,5.55,-1
196,4106,20201211  12:50:00,5.55,5.7,5.5,5.7,-1
197,4106,20201211  12:55:00,5.7,5.8,5.6,5.8,-1
198,4106,20201211  13:00:00,5.8,5.95,5.75,5.95,-1
199,4106,20201211  13:05:00,5.95,6.0,5.85,6.0,-1
200,4106,20201211  13:10:00,6.0,6.35,6.0,6.2,-1
